titulo,preco,area,quartos,banheiros,garagem,endereco,UF,cidade,tipo_imovel
Apartamento com 3 Quartos à Venda com 150m²,320000.0,150,3,4,4,"Travessa Felício, 41 - Cascadura, Rio de Janeiro - RJ",RJ,Rio de Janeiro,Apartamento
Casa com 3 Quartos à Venda com 74m²,98556.0,74,3,2,3,"Rua José Bolonha, 547 - Igacaba, Pedregulho - SP",SP,Pedregulho,Casa
Casa com 3 Quartos à Venda com 450m²,550000.0,450,3,5,10,"Avenida Ponte Alta Norte, 08 - Ponte Alta Norte, Brasília - DF",DF,Brasília,Casa
Casa com 3 Quartos à Venda com 110m²,230000.0,110,3,2,1,"Ponte Marcos Freire II, 56 - Marcos Freire II, Nossa Senhora do Socorro - SE",SE,Nossa Senhora do Socorro,Casa
Apartamento com 3 Quartos à Venda com 95m²,485000.0,95,3,3,2,"Avenida Presidente Kennedy, 432 - Piedade, Jaboatão dos Guararapes - PE",PE,Jaboatão dos Guararapes,Apartamento
Apartamento com Quarto à Venda com 102m²,230000.0,102,1,1,1,"Avenida Barão do Rio Branco, 5220 - Passos, Juiz de Fora - MG",MG,Juiz de Fora,Apartamento
Casa com 2 Quartos à Venda com 150m²,370000.0,150,2,3,5,"Rua Noventa e Oito - Area Rural de Saquarema, Saquarema - RJ",RJ,Saquarema,Casa
Casa com 2 Quartos à Venda com 47m²,162200.0,47,2,1,2,"Estrada Comercíal da Pitanga, 479 - Centro, Igarassu - PE",PE,Igarassu,Casa
Casa com 3 Quartos à Venda com 70m²,65000.0,70,3,1,1,"Rua Ibicuí, 1 - Pernambués, Salvador - BA",BA,Salvador,Casa
Apartamento com 2 Quartos à Venda com 70m²,500000.0,70,2,1,1,"Avenida Presidente Castelo Branco, 8942 - Mirim, Praia Grande - SP",SP,Praia Grande,Apartamento
Apartamento com 2 Quartos à Venda com 50m²,260000.0,50,2,1,1,"Avenida Benedito Rodrigues Lisboa, 1221 - Jardim Bosque das Vivendas, São José do Rio Preto - SP",SP,São José do Rio Preto,Apartamento
Casa com 3 Quartos à Venda com 230m²,510000.0,230,3,3,3,"Avenida Alfredo Blóis, 752900 - Jardim Maria Amelia, Jacareí - SP",SP,Jacareí,Casa
Casa com 2 Quartos à Venda com 120m²,420000.0,120,2,2,1,"Rua Trinta e Dois - Itaipuaçú, Maricá - RJ",RJ,Maricá,Casa
Apartamento com 2 Quartos à Venda com 80m²,195000.0,80,2,1,0,"Avenida Cairu, 762 - Navegantes, Porto Alegre - RS",RS,Porto Alegre,Apartamento
Apartamento com 2 Quartos à Venda com 56m²,355000.0,56,2,2,1,"Rua Doutor Vicente Giacaglini, 528 - Vila Prudente, São Paulo - SP",SP,São Paulo,Apartamento
Apartamento com 2 Quartos à Venda com 75m²,480000.0,75,2,2,2,"Rua Paritins, 1 - Parque Amazônia, Goiânia - GO",GO,Goiânia,Apartamento
Casa com 3 Quartos à Venda com 187m²,400000.0,187,3,2,3,"Balneario Josedy , Peruíbe - SP",SP,Peruíbe,Casa
Casa com 2 Quartos à Venda com 140m²,360000.0,140,2,3,2,"Rua Julieta Barroso Prota, 51510 - Vila Martinez, Jacareí - SP",SP,Jacareí,Casa
Casa com 2 Quartos à Venda com 110m²,430000.0,110,2,3,2,"Rua Wilma Tavares Simoni - Jardim Rosalia Alcolea, Sorocaba - SP",SP,Sorocaba,Casa
